Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	5.0	0.55	328209636.05432093	342826188.55987656	50083310226.069145	4.342550261072423	psmc
gr_wolf.spain.SAMN04851099	5.0	0.56	317964983.3090908	332581535.8146464	46477881706.10914	4.198671974262444	psmc
gr_wolf.spain.SAMN04851099	5.0	0.57	307243835.0873385	321860387.59289414	44111987963.000244	4.11224453080319	psmc
gr_wolf.spain.SAMN04851099	5.0	0.58	296012155.99788356	310628708.5034392	39853133303.53251	3.5008988098720097	psmc
gr_wolf.spain.SAMN04851099	5.0	0.59	284232590.12357724	298849142.62913287	37532541429.716125	3.4169507770037177	psmc
gr_wolf.spain.SAMN04851099	5.0	0.6	271864045.95555544	286480598.46111107	34016470239.17103	3.2903093486420856	psmc
gr_wolf.spain.SAMN04851099	5.0	0.61	258861217.47122514	273477769.9767808	29536433959.38558	2.644273029882181	psmc
gr_wolf.spain.SAMN04851099	5.0	0.62	245174029.59298247	259790582.0985381	27544087678.149277	2.5831003249200046	psmc
gr_wolf.spain.SAMN04851099	5.0	0.63	230746993.72132134	245363546.22687697	24522351727.418312	2.489647880398196	psmc
gr_wolf.spain.SAMN04851099	5.0	0.64	215518455.85679007	230135008.3623457	19942306299.463287	1.8126005217934447	psmc
gr_wolf.spain.SAMN04851099	5.0	0.65	199419715.82857132	217431896.31984127	18310656790.011375	1.7720932979665158	psmc
gr_wolf.spain.SAMN04851099	5.0	0.66	182373991.0928104	199924566.50751638	16091212420.608778	1.7146501201778939	psmc
gr_wolf.spain.SAMN04851099	5.0	0.67	164295192.13063955	181356186.40353525	11584212041.308876	1.0105107156427926	psmc
gr_wolf.spain.SAMN04851099	5.0	0.68	145086468.23333323	168070073.58472228	10709752371.928274	1.000193832993731	psmc
gr_wolf.spain.SAMN04851099	5.0	0.69	124638471.82652344	147276169.18620086	10058758836.30638	0.9990477930002006	psmc
gr_wolf.spain.SAMN04851099	5.0	0.7	139952894.4166665	139952894.4166665	5872955296.9000225	0.2710042143935228	psmc
gr_wolf.spain.SAMN04851099	5.0	0.71	175920514.86111104	175920514.86111104	6590331809.943821	0.3083667122279371	psmc
gr_wolf.spain.SAMN04851099	5.0	0.72	214457251.05158722	214457251.05158722	12590338848.367718	0.9524299263595256	psmc
gr_wolf.spain.SAMN04851099	5.0	0.73	255848560.29320967	255848560.29320967	14933830669.298937	1.0191160197072304	psmc
gr_wolf.spain.SAMN04851099	5.0	0.74	300423816.39957273	300423816.39957273	19932552065.619316	1.1444338094803674	psmc
